	Word	Bigram	Conc.M	Conc.SD	Unknown	Total	Percent_known	SUBTLEX	Dom_Pos
64	afghan	0	4.5	0.92	0	28	1.0	29	Adjective
65	binocular	0	4.5	1.03	0	26	1.0	1	Adjective
66	naked	0	4.5	1.0	0	28	1.0	2002	Adjective
67	hairy	0	4.48	0.98	0	27	1.0	322	Adjective
68	saline	0	4.48	0.94	0	27	1.0	175	Adjective
69	sudsy	0	4.48	1.0	3	28	0.8928571428571429	3	Adjective
70	wet	0	4.46	0.58	0	28	1.0	2000	Adjective
71	wooded	0	4.46	0.84	0	28	1.0	17	Adjective
72	male	0	4.45	1.02	0	29	1.0	1731	Adjective
73	rusted	0	4.44	0.85	0	27	1.0	36	Adjective
74	aquamarine	0	4.43	0.92	0	28	1.0	23	Adjective
75	shirtless	0	4.43	0.97	0	30	1.0	14	Adjective
76	headless	0	4.42	0.95	0	26	1.0	67	Adjective
77	solid	0	4.42	0.81	0	26	1.0	998	Adjective
78	beaded	0	4.41	1.08	0	27	1.0	11	Adjective
79	blond	0	4.41	1.12	2	29	0.9310344827586207	533	Adjective
80	soapy	0	4.41	0.93	0	27	1.0	25	Adjective
81	woodcutting	0	4.41	0.68	0	29	1.0	1	Adjective
82	prosthetic	0	4.4	1.04	0	25	1.0	34	Adjective
83	roast	0	4.4	0.97	0	30	1.0	499	Adjective
84	tartar	0	4.4	1.13	0	30	1.0	76	Adjective
85	newborn	0	4.39	1.03	0	28	1.0	128	Adjective
86	feline	0	4.38	0.98	1	30	0.9666666666666667	46	Adjective
87	undercooked	0	4.38	0.71	0	24	1.0	9	Adjective
88	vertebrate	0	4.38	0.9	1	27	0.9629629629629629	7	Adjective
89	bloodstained	0	4.37	1.18	0	27	1.0	16	Adjective
90	flatbed	0	4.37	0.97	0	27	1.0	21	Adjective
91	joint	0	4.37	1.08	0	27	1.0	1405	Adjective
92	preschool	0	4.37	1.04	0	27	1.0	61	Adjective
93	beardless	0	4.36	0.91	0	28	1.0	8	Adjective
94	indigo	0	4.36	0.99	0	28	1.0	16	Adjective
95	frozen	0	4.34	1.2	0	29	1.0	782	Adjective
96	barefooted	0	4.33	1.3	0	27	1.0	9	Adjective
97	hashish	0	4.33	1.33	2	29	0.9310344827586207	23	Adjective
98	jeweled	0	4.33	0.78	0	27	1.0	15	Adjective
99	mummified	0	4.33	0.62	0	27	1.0	14	Adjective
100	paralegal	0	4.33	0.99	0	30	1.0	50	Adjective
101	pleated	0	4.33	1.04	2	29	0.9310344827586207	4	Adjective
102	puffy	0	4.33	0.92	0	30	1.0	86	Adjective
103	grassy	0	4.32	1.06	0	28	1.0	32	Adjective
104	muddy	0	4.32	0.95	0	25	1.0	153	Adjective
105	mustached	0	4.32	0.94	1	29	0.9655172413793104	1	Adjective
106	rainy	0	4.32	1.02	0	28	1.0	194	Adjective
107	roundtable	0	4.32	1.12	0	28	1.0	3	Adjective
108	uncircumcised	0	4.32	1.12	1	29	0.9655172413793104	14	Adjective
109	acrylic	0	4.31	0.84	1	27	0.9629629629629629	23	Adjective
110	bottled	0	4.31	1.19	0	26	1.0	133	Adjective
111	hot	0	4.31	1.0	0	29	1.0	9682	Adjective
112	sunlit	0	4.31	1.01	0	26	1.0	9	Adjective
113	euro	0	4.3	1.23	0	27	1.0	31	Adjective
114	giant	0	4.3	1.22	1	24	0.9583333333333334	1380	Adjective
115	yellow	0	4.3	1.06	0	30	1.0	1724	Adjective
116	capillary	0	4.29	1.15	1	29	0.9655172413793104	12	Adjective
117	dark	0	4.29	1.15	0	28	1.0	4519	Adjective
118	decimal	0	4.29	1.15	0	28	1.0	42	Adjective
119	freshwater	0	4.29	1.12	0	28	1.0	35	Adjective
120	pimpled	0	4.29	1.01	0	28	1.0	2	Adjective
122	redheaded	0	4.29	0.98	0	28	1.0	45	Adjective
123	wrinkled	0	4.29	1.16	0	31	1.0	86	Adjective
124	abdominal	0	4.28	1.16	0	29	1.0	174	Adjective
125	bobsledder	0	4.28	1.02	3	28	0.8928571428571429	5	Adjective
126	nude	0	4.28	1.1	0	29	1.0	301	Adjective
127	gunmetal	0	4.27	1.04	1	27	0.9629629629629629	2	Adjective
128	bloodshot	0	4.26	0.96	0	23	1.0	26	Adjective
129	thorny	0	4.26	0.93	0	31	1.0	36	Adjective
130	toothless	0	4.26	0.98	0	27	1.0	28	Adjective
131	civilian	0	4.25	1.21	0	28	1.0	479	Adjective
132	handmade	0	4.25	0.97	0	28	1.0	46	Adjective
133	marine	0	4.25	1.11	0	28	1.0	718	Adjective
134	octagonal	0	4.25	0.9	1	25	0.96	6	Adjective
135	quilted	0	4.25	0.74	0	24	1.0	4	Adjective
136	snowy	0	4.25	0.97	0	28	1.0	54	Adjective
137	unshaved	0	4.25	1.04	1	29	0.9655172413793104	2	Adjective
138	dishwashing	0	4.24	1.09	1	30	0.9666666666666667	17	Adjective
139	red	0	4.24	1.36	0	25	1.0	7551	Adjective
141	treeless	0	4.24	1.02	0	29	1.0	2	Adjective
142	unshaven	0	4.24	1.12	1	30	0.9666666666666667	6	Adjective
143	dirty	0	4.23	1.14	0	26	1.0	3389	Adjective
145	caged	0	4.22	0.97	0	27	1.0	83	Adjective
146	icy	0	4.22	0.97	0	27	1.0	135	Adjective
147	scaly	0	4.22	1.13	3	26	0.8846153846153846	16	Adjective
148	cubical	0	4.21	1.17	0	28	1.0	1	Adjective
149	houseguest	0	4.21	0.99	0	28	1.0	24	Adjective
150	padded	0	4.21	1.01	0	29	1.0	55	Adjective
151	seedless	0	4.21	1.1	0	28	1.0	10	Adjective
152	sunny	0	4.2	1.12	0	25	1.0	391	Adjective
153	automotive	0	4.19	1.11	0	27	1.0	33	Adjective
154	baked	0	4.19	1.0	0	27	1.0	341	Adjective
155	bowlegged	0	4.19	0.85	1	27	0.9629629629629629	12	Adjective
156	dewy	0	4.19	0.79	2	29	0.9310344827586207	12	Adjective
157	genital	0	4.19	1.44	0	27	1.0	27	Adjective
158	khaki	0	4.19	1.1	0	26	1.0	42	Adjective
159	sequined	0	4.19	0.98	4	30	0.8666666666666667	14	Adjective
160	duplex	0	4.18	1.16	0	28	1.0	24	Adjective
161	longhaired	0	4.18	1.22	1	29	0.9655172413793104	8	Adjective
162	sweaty	0	4.18	1.06	1	29	0.9655172413793104	226	Adjective
163	forehand	0	4.17	1.26	0	29	1.0	5	Adjective
164	unshelled	0	4.17	0.98	3	26	0.8846153846153846	2	Adjective
165	furrier	0	4.16	1.37	3	28	0.8928571428571429	13	Adjective
166	stutterer	0	4.16	0.8	3	28	0.8928571428571429	1	Adjective
167	centerfold	0	4.15	1.13	1	28	0.9642857142857143	34	Adjective
168	infomercial	0	4.15	1.19	0	26	1.0	31	Adjective
169	leftover	0	4.15	1.06	0	27	1.0	61	Adjective
170	chalky	0	4.14	1.03	0	29	1.0	6	Adjective
171	crusty	0	4.14	1.04	0	28	1.0	54	Adjective
172	naval	0	4.14	1.16	0	29	1.0	292	Adjective
173	skintight	0	4.14	0.92	0	29	1.0	8	Adjective
174	tanned	0	4.14	1.24	0	28	1.0	31	Adjective
175	toeless	0	4.14	1.24	1	29	0.9655172413793104	1	Adjective
176	whiskered	0	4.14	1.25	0	29	1.0	3	Adjective
177	swelling	0	4.13	0.92	0	31	1.0	161	Adjective
178	silky	0	4.12	0.99	0	26	1.0	40	Adjective
179	unpaved	0	4.12	1.03	0	26	1.0	3	Adjective
180	wastewater	0	4.12	1.17	2	27	0.9259259259259259	1	Adjective
181	corded	0	4.11	1.22	0	27	1.0	1	Adjective
182	eyeless	0	4.11	1.15	0	27	1.0	3	Adjective
183	fried	0	4.11	1.05	0	27	1.0	518	Adjective
184	grey	0	4.11	1.37	0	28	1.0	469	Adjective
185	manicured	0	4.11	0.89	0	27	1.0	18	Adjective
186	minty	0	4.11	1.12	0	27	1.0	25	Adjective
187	multicolored	0	4.11	1.26	0	28	1.0	8	Adjective
188	perforated	0	4.11	0.97	0	27	1.0	24	Adjective
189	quadriplegic	0	4.11	1.4	0	27	1.0	1	Adjective
190	rectangular	0	4.11	1.17	0	28	1.0	22	Adjective
191	sockless	0	4.11	1.13	0	28	1.0	1	Adjective
193	topless	0	4.11	1.1	0	28	1.0	100	Adjective
194	bifocal	0	4.1	1.12	3	23	0.8695652173913043	1	Adjective
195	waxy	0	4.1	0.99	0	30	1.0	20	Adjective
196	bicuspid	0	4.09	1.31	3	25	0.88	5	Adjective
197	fluorine	0	4.09	1.47	4	27	0.8518518518518519	5	Adjective
198	bloody	0	4.08	1.25	0	24	1.0	1962	Adjective
199	starry	0	4.08	1.15	2	27	0.9259259259259259	37	Adjective
200	sugared	0	4.08	1.15	1	26	0.9615384615384616	9	Adjective
201	bathing	0	4.07	0.96	0	27	1.0	379	Adjective
202	blooming	0	4.07	0.92	0	27	1.0	81	Adjective
203	breaded	0	4.07	1.25	0	28	1.0	11	Adjective
204	bronzed	0	4.07	0.96	0	29	1.0	17	Adjective
205	creaky	0	4.07	1.11	1	28	0.9642857142857143	12	Adjective
206	dead	0	4.07	1.27	0	28	1.0	22898	Adjective
207	dorsal	0	4.07	1.17	0	27	1.0	27	Adjective
208	earless	0	4.07	1.16	0	29	1.0	4	Adjective
209	green	0	4.07	1.22	0	29	1.0	3696	Adjective
210	hieroglyphic	0	4.07	1.36	2	29	0.9310344827586207	7	Adjective
211	legless	0	4.07	1.3	0	28	1.0	6	Adjective
212	pubic	0	4.07	1.3	0	27	1.0	60	Adjective
213	spiky	0	4.07	1.25	1	30	0.9666666666666667	11	Adjective
214	stagehand	0	4.07	1.04	0	27	1.0	28	Adjective
215	tabloid	0	4.07	1.18	0	28	1.0	56	Adjective
216	taller	0	4.07	1.11	1	28	0.9642857142857143	284	Adjective
217	triangular	0	4.07	1.2	0	30	1.0	12	Adjective
218	underground	0	4.07	1.17	0	27	1.0	613	Adjective
219	bioluminescent	0	4.05	1.16	3	24	0.875	3	Adjective
220	blinder	0	4.04	1.22	2	25	0.92	6	Adjective
223	cupful	0	4.04	1.43	2	26	0.9230769230769231	1	Adjective
224	freezing	0	4.04	1.14	0	28	1.0	680	Adjective
225	glazed	0	4.04	0.96	1	27	0.9629629629629629	50	Adjective
226	lounger	0	4.04	1.26	1	29	0.9655172413793104	3	Adjective
227	minced	0	4.04	1.14	0	28	1.0	4	Adjective
228	oval	0	4.04	1.4	0	24	1.0	69	Adjective
229	overcast	0	4.04	1.13	0	27	1.0	24	Adjective
230	pebbled	0	4.04	1.21	2	27	0.9259259259259259	1	Adjective
231	purple	0	4.04	1.43	0	28	1.0	629	Adjective
232	scarlet	0	4.04	1.19	0	27	1.0	167	Adjective
233	serrated	0	4.04	1.19	1	28	0.9642857142857143	12	Adjective
234	smoky	0	4.04	1.32	1	29	0.9655172413793104	34	Adjective
235	stinging	0	4.04	1.19	0	27	1.0	46	Adjective
236	striped	0	4.04	1.19	1	28	0.9642857142857143	87	Adjective
237	stubbly	0	4.04	1.29	0	28	1.0	2	Adjective
238	aboveground	0	4.03	1.24	0	29	1.0	7	Adjective
239	blind	0	4.03	1.15	0	29	1.0	2337	Adjective
240	metallic	0	4.03	1.02	0	29	1.0	67	Adjective
241	salted	0	4.03	1.27	0	29	1.0	29	Adjective
243	cloudy	0	4.0	1.31	0	29	1.0	110	Adjective
245	comic	0	4.0	1.25	0	28	1.0	552	Adjective
246	crimson	0	4.0	1.44	0	27	1.0	67	Adjective
247	evergreen	0	4.0	1.39	0	27	1.0	10	Adjective
248	featherless	0	4.0	1.15	0	28	1.0	2	Adjective
249	frosted	0	4.0	1.31	0	28	1.0	41	Adjective
250	horned	0	4.0	1.22	0	29	1.0	27	Adjective
251	invertebrate	0	4.0	1.44	1	28	0.9642857142857143	1	Adjective
252	mashed	0	4.0	1.15	1	29	0.9655172413793104	188	Adjective
253	mauve	0	4.0	1.41	1	25	0.96	27	Adjective
254	meatpacking	0	4.0	0.9	0	28	1.0	12	Adjective
255	military	0	4.0	1.13	0	31	1.0	2103	Adjective
256	moist	0	4.0	0.98	0	28	1.0	92	Adjective
257	paraplegic	0	4.0	1.23	0	30	1.0	24	Adjective
258	pastel	0	4.0	1.49	1	29	0.9655172413793104	14	Adjective
259	plump	0	4.0	1.11	1	28	0.9642857142857143	75	Adjective
260	reclining	0	4.0	1.05	0	28	1.0	22	Adjective
261	solar	0	4.0	1.07	0	27	1.0	236	Adjective
262	sweet	0	4.0	1.13	0	29	1.0	7405	Adjective
263	thick	0	4.0	0.95	0	30	1.0	713	Adjective
264	typewritten	0	4.0	1.2	0	29	1.0	8	Adjective
265	unpeeled	0	4.0	1.13	2	28	0.9285714285714286	2	Adjective
266	collarless	0	3.97	1.15	1	30	0.9666666666666667	1	Adjective
267	deceased	0	3.97	1.22	0	30	1.0	321	Adjective
268	hexagonal	0	3.97	1.32	0	29	1.0	5	Adjective
269	pointy	0	3.97	1.21	0	29	1.0	104	Adjective
270	springy	0	3.97	0.94	0	29	1.0	5	Adjective
271	steroid	0	3.97	1.3	0	29	1.0	20	Adjective
272	unbuckled	0	3.97	1.35	0	30	1.0	12	Adjective
273	cursive	0	3.96	1.32	0	28	1.0	4	Adjective
274	diagonal	0	3.96	1.26	0	28	1.0	27	Adjective
275	equestrian	0	3.96	1.2	1	29	0.9655172413793104	20	Adjective
276	feathered	0	3.96	1.32	1	28	0.9642857142857143	34	Adjective
277	flaming	0	3.96	1.19	0	27	1.0	130	Adjective
278	furry	0	3.96	1.3	0	23	1.0	122	Adjective
279	fuzzy	0	3.96	1.18	2	28	0.9285714285714286	297	Adjective
280	hind	0	3.96	1.43	2	29	0.9310344827586207	125	Adjective
281	humpbacked	0	3.96	1.4	1	29	0.9655172413793104	7	Adjective
282	juicy	0	3.96	1.09	0	27	1.0	219	Adjective
283	pyrotechnic	0	3.96	1.02	2	29	0.9310344827586207	2	Adjective
284	stormy	0	3.96	1.13	0	27	1.0	74	Adjective
285	woolly	0	3.96	1.14	1	26	0.9615384615384616	24	Adjective
286	stationary	0	3.95	1.0	0	22	1.0	49	Adjective
287	slippery	0	3.94	1.12	0	31	1.0	225	Adjective
288	anesthetic	0	3.93	1.15	2	30	0.9333333333333333	68	Adjective
289	balding	0	3.93	1.25	0	28	1.0	28	Adjective
290	bovine	0	3.93	1.47	2	29	0.9310344827586207	22	Adjective
291	fecal	0	3.93	1.33	2	30	0.9333333333333333	30	Adjective
292	frilly	0	3.93	1.21	2	29	0.9310344827586207	16	Adjective
293	glittering	0	3.93	1.26	0	30	1.0	16	Adjective
294	greased	0	3.93	1.41	0	28	1.0	68	Adjective
295	handheld	0	3.93	1.33	0	27	1.0	20	Adjective
296	inflated	0	3.93	0.94	0	28	1.0	26	Adjective
297	interstate	0	3.93	1.46	0	30	1.0	110	Adjective
298	laminated	0	3.93	1.41	0	30	1.0	18	Adjective
299	moldy	0	3.93	1.28	0	30	1.0	30	Adjective
300	northeastern	0	3.93	1.2	0	30	1.0	16	Adjective
301	outdoor	0	3.93	1.19	0	29	1.0	93	Adjective
302	pink	0	3.93	1.33	0	28	1.0	1452	Adjective
303	salty	0	3.93	1.44	0	28	1.0	127	Adjective
304	scrambled	0	3.93	0.94	0	30	1.0	367	Adjective
305	sculptured	0	3.93	0.94	0	30	1.0	3	Adjective
306	slim	0	3.93	1.08	0	30	1.0	605	Adjective
307	strapless	0	3.93	1.0	1	30	0.9666666666666667	20	Adjective
308	volcanic	0	3.93	1.36	0	27	1.0	57	Adjective
309	watermarked	0	3.93	1.16	0	29	1.0	2	Adjective
310	watery	0	3.93	1.13	0	29	1.0	36	Adjective
311	braless	0	3.92	1.32	1	25	0.96	1	Adjective
312	bright	0	3.92	0.93	0	26	1.0	2265	Adjective
313	deepwater	0	3.92	1.19	4	29	0.8620689655172413	3	Adjective
314	fleshless	0	3.92	1.29	1	27	0.9629629629629629	6	Adjective
315	forkful	0	3.92	1.29	3	29	0.896551724137931	1	Adjective
317	metacarpal	0	3.92	1.56	4	28	0.8571428571428571	7	Adjective
318	subtotal	0	3.92	1.35	0	26	1.0	2	Adjective
319	taut	0	3.92	1.16	2	28	0.9285714285714286	35	Adjective
320	pickled	0	3.91	1.08	1	24	0.9583333333333334	76	Adjective
321	frosty	0	3.9	1.23	0	29	1.0	121	Adjective
322	gated	0	3.9	1.23	0	29	1.0	13	Adjective
323	hooded	0	3.9	1.32	0	29	1.0	15	Adjective
324	jellied	0	3.9	1.11	1	30	0.9666666666666667	5	Adjective
325	motorized	0	3.9	1.08	0	29	1.0	15	Adjective
326	phosphorous	0	3.9	1.37	1	30	0.9666666666666667	12	Adjective
327	recycled	0	3.9	1.24	0	30	1.0	43	Adjective
328	round	0	3.9	1.4	0	29	1.0	3393	Adjective
329	unsalted	0	3.9	1.12	0	30	1.0	3	Adjective
330	velvety	0	3.9	1.12	0	30	1.0	8	Adjective
331	bulletproof	0	3.89	1.31	1	29	0.9655172413793104	130	Adjective
332	coastal	0	3.89	1.29	0	28	1.0	43	Adjective
333	contraceptive	0	3.89	1.42	0	27	1.0	17	Adjective
334	dimpled	0	3.89	1.15	1	28	0.9642857142857143	10	Adjective
335	leafy	0	3.89	1.28	1	28	0.9642857142857143	24	Adjective
336	prickly	0	3.89	1.4	0	27	1.0	29	Adjective
337	sugarless	0	3.89	1.42	1	29	0.9655172413793104	9	Adjective
338	sugary	0	3.89	1.37	0	27	1.0	15	Adjective
339	white	0	3.89	1.29	0	28	1.0	8744	Adjective
340	apache	0	3.88	1.24	1	27	0.9629629629629629	251	Adjective
341	backhand	0	3.88	1.33	0	25	1.0	37	Adjective
342	frothy	0	3.88	1.3	1	26	0.9615384615384616	12	Adjective
343	haired	0	3.88	1.37	3	29	0.896551724137931	12	Adjective
344	hilly	0	3.88	1.36	3	28	0.8928571428571429	62	Adjective
345	powdered	0	3.88	1.37	0	26	1.0	107	Adjective
346	soft	0	3.88	1.45	0	26	1.0	1633	Adjective
347	umbilical	0	3.88	1.27	2	27	0.9259259259259259	62	Adjective
348	waxed	0	3.88	1.05	0	25	1.0	69	Adjective
349	wigless	0	3.88	1.19	3	27	0.8888888888888888	1	Adjective
350	rotten	0	3.87	1.48	0	30	1.0	891	Adjective
351	chemical	0	3.86	1.24	0	28	1.0	579	Adjective
353	fluffy	0	3.86	1.04	0	28	1.0	185	Adjective
354	freckled	0	3.86	1.3	0	28	1.0	6	Adjective
355	roundabout	0	3.86	1.28	1	22	0.9545454545454546	22	Adjective
356	sharp	0	3.86	1.22	0	29	1.0	1213	Adjective
357	smashing	0	3.86	1.24	0	28	1.0	169	Adjective
358	stillborn	0	3.86	1.48	0	29	1.0	15	Adjective
359	thirsty	0	3.86	1.36	0	29	1.0	627	Adjective
360	uncooked	0	3.86	1.13	0	29	1.0	5	Adjective
361	windowless	0	3.86	1.08	1	29	0.9655172413793104	10	Adjective
362	windy	0	3.86	1.22	0	29	1.0	134	Adjective
363	woolen	0	3.86	1.27	1	29	0.9655172413793104	29	Adjective
364	antiseptic	0	3.85	1.17	0	27	1.0	44	Adjective
365	cold	0	3.85	1.3	5	5887	0.9991506709699337	6638	Adjective
366	crisper	0	3.85	1.04	2	22	0.9090909090909091	9	Adjective
367	curdled	0	3.85	1.46	3	29	0.896551724137931	8	Adjective
368	gloved	0	3.85	1.29	0	27	1.0	8	Adjective
369	meatless	0	3.85	1.23	0	27	1.0	8	Adjective
370	southernmost	0	3.85	1.32	0	27	1.0	4	Adjective
371	jaundiced	0	3.84	1.25	2	27	0.9259259259259259	11	Adjective
372	maroon	0	3.84	1.21	0	31	1.0	61	Adjective
373	varicose	0	3.84	1.21	3	28	0.8928571428571429	14	Adjective
374	webbed	0	3.84	1.31	3	28	0.8928571428571429	17	Adjective
375	autographed	0	3.83	1.17	1	30	0.9666666666666667	60	Adjective
376	cordless	0	3.83	1.31	0	29	1.0	20	Adjective
377	frizzy	0	3.83	1.37	0	23	1.0	18	Adjective
378	gymnastic	0	3.83	1.26	0	30	1.0	3	Adjective
379	nasal	0	3.83	1.26	0	30	1.0	106	Adjective
380	oily	0	3.83	1.15	0	30	1.0	49	Adjective
381	rough	0	3.83	1.31	0	29	1.0	1907	Adjective
382	soldering	0	3.83	1.31	2	31	0.9354838709677419	20	Adjective
383	spherical	0	3.83	1.1	0	29	1.0	9	Adjective
384	thin	0	3.83	1.28	0	29	1.0	1029	Adjective
385	undersea	0	3.83	1.28	0	29	1.0	40	Adjective
386	ablaze	0	3.82	1.16	0	28	1.0	21	Adjective
387	arched	0	3.82	1.28	0	28	1.0	9	Adjective
388	greasy	0	3.82	1.33	0	28	1.0	199	Adjective
389	intestinal	0	3.82	1.12	2	30	0.9333333333333333	32	Adjective
390	muscular	0	3.82	1.31	0	28	1.0	79	Adjective
392	backpedal	0	3.81	1.41	1	27	0.9629629629629629	2	Adjective
393	barbed	0	3.81	1.18	1	28	0.9642857142857143	67	Adjective
395	damp	0	3.81	1.3	0	27	1.0	149	Adjective
396	dotted	0	3.81	1.3	1	27	0.9629629629629629	51	Adjective
397	flatulent	0	3.81	1.42	1	28	0.9642857142857143	11	Adjective
398	floppy	0	3.81	1.3	0	27	1.0	58	Adjective
399	lidless	0	3.81	1.24	2	29	0.9310344827586207	2	Adjective
400	masked	0	3.81	1.52	0	27	1.0	120	Adjective
401	overcrowded	0	3.81	1.24	0	27	1.0	23	Adjective
402	quintuple	0	3.81	1.36	1	28	0.9642857142857143	1	Adjective
403	runaway	0	3.81	1.24	0	27	1.0	207	Adjective
404	sectional	0	3.81	1.36	0	27	1.0	14	Adjective
405	skinless	0	3.81	1.44	1	28	0.9642857142857143	11	Adjective
406	smooth	0	3.81	1.24	0	27	1.0	932	Adjective
407	unthawed	0	3.81	1.23	1	27	0.9629629629629629	1	Adjective
408	foggy	0	3.8	1.47	0	25	1.0	66	Adjective
409	latticed	0	3.8	1.08	2	27	0.9259259259259259	1	Adjective
410	onstage	0	3.8	1.32	1	26	0.9615384615384616	104	Adjective
411	seamless	0	3.8	1.19	0	25	1.0	16	Adjective
412	unplugged	0	3.8	1.3	0	30	1.0	43	Adjective
413	circular	0	3.79	1.34	2	30	0.9333333333333333	81	Adjective
415	dusty	0	3.79	1.32	0	28	1.0	283	Adjective
416	flowered	0	3.79	1.38	0	24	1.0	17	Adjective
417	fossilized	0	3.79	1.45	2	30	0.9333333333333333	11	Adjective
418	frayed	0	3.79	1.24	0	29	1.0	23	Adjective
419	iced	0	3.79	1.2	0	28	1.0	218	Adjective
420	ingest	0	3.79	1.37	0	29	1.0	23	Adjective
421	overnighter	0	3.79	1.29	1	29	0.9655172413793104	3	Adjective
422	pale	0	3.79	1.32	0	29	1.0	409	Adjective
423	perfumed	0	3.79	1.15	0	29	1.0	34	Adjective
424	phosphorescent	0	3.79	1.22	2	26	0.9230769230769231	6	Adjective
426	unbleached	0	3.79	1.42	0	29	1.0	2	Adjective
427	colorful	0	3.78	1.42	0	27	1.0	163	Adjective
428	decomposed	0	3.78	1.09	0	27	1.0	24	Adjective
429	fluorescent	0	3.78	1.34	0	27	1.0	30	Adjective
430	jacketed	0	3.78	1.13	4	27	0.8518518518518519	3	Adjective
431	neuromuscular	0	3.78	1.31	1	24	0.9583333333333334	3	Adjective
432	sable	0	3.78	1.59	4	27	0.8518518518518519	42	Adjective
433	wetter	0	3.78	1.25	2	29	0.9310344827586207	24	Adjective
434	aflame	0	3.77	1.34	2	28	0.9285714285714286	17	Adjective
435	corseted	0	3.77	1.34	3	29	0.896551724137931	1	Adjective
436	dry	0	3.77	1.41	0	30	1.0	2184	Adjective
438	limbless	0	3.77	1.39	4	30	0.8666666666666667	1	Adjective
439	stable	0	3.77	1.41	0	30	1.0	673	Adjective
440	syrupy	0	3.77	1.18	0	26	1.0	2	Adjective
441	tinkling	0	3.77	1.11	1	27	0.9629629629629629	38	Adjective
442	unbaked	0	3.77	1.45	2	28	0.9285714285714286	1	Adjective
443	black	0	3.76	1.64	0	29	1.0	8565	Adjective
444	blue	0	3.76	1.45	0	25	1.0	5222	Adjective
